"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"California"	"06"	3602	36021202	10.0
	"2006"	"2006"	"Colorado"	"08"	444	4720423	9.4
	"2006"	"2006"	"Connecticut"	"09"	238	3517460	6.8
	"2006"	"2006"	"Delaware"	"10"	76	859268	8.8
	"2006"	"2006"	"District of Columbia"	"11"	85	570681	14.9
	"2006"	"2006"	"Florida"	"12"	1951	18166990	10.7
	"2006"	"2006"	"Georgia"	"13"	520	9155813	5.7
	"2006"	"2006"	"Hawaii"	"15"	148	1309731	11.3
	"2006"	"2006"	"Idaho"	"16"	125	1468669	8.5
	"2006"	"2006"	"Illinois"	"17"	698	12643955	5.5
	"2006"	"2006"	"Indiana"	"18"	329	6332669	5.2
	"2006"	"2006"	"Iowa"	"19"	254	2982644	8.5
	"2006"	"2006"	"Kansas"	"20"	263	2762931	9.5
	"2006"	"2006"	"Kentucky"	"21"	364	4219239	8.6
	"2006"	"2006"	"Louisiana"	"22"	222	4302665	5.2
	"2006"	"2006"	"Maine"	"23"	150	1323619	11.3
	"2006"	"2006"	"Maryland"	"24"	384	5627367	6.8
	"2006"	"2006"	"Massachusetts"	"25"	371	6410084	5.8
	"2006"	"2006"	"Michigan"	"26"	788	10036081	7.9
	"2006"	"2006"	"Minnesota"	"27"	535	5163555	10.4
	"2006"	"2006"	"Mississippi"	"28"	128	2904978	4.4
	"2006"	"2006"	"Missouri"	"29"	543	5842704	9.3
	"2006"	"2006"	"Montana"	"30"	124	952692	13.0
	"2006"	"2006"	"Nebraska"	"31"	112	1772693	6.3
	"2006"	"2006"	"Nevada"	"32"	368	2522658	14.6
	"2006"	"2006"	"New Hampshire"	"33"	122	1308389	9.3
	"2006"	"2006"	"New Jersey"	"34"	520	8661679	6.0
	"2006"	"2006"	"New Mexico"	"35"	426	1962137	21.7
	"2006"	"2006"	"New York"	"36"	1255	19104631	6.6
	"2006"	"2006"	"North Carolina"	"37"	707	8917270	7.9
	"2006"	"2006"	"North Dakota"	"38"	54	649422	8.3
	"2006"	"2006"	"Ohio"	"39"	971	11481213	8.5
	"2006"	"2006"	"Oklahoma"	"40"	532	3594090	14.8
	"2006"	"2006"	"Oregon"	"41"	645	3670883	17.6
	"2006"	"2006"	"Pennsylvania"	"42"	539	12510809	4.3
	"2006"	"2006"	"Rhode Island"	"44"	88	1063096	8.3
	"2006"	"2006"	"South Carolina"	"45"	313	4357847	7.2
	"2006"	"2006"	"South Dakota"	"46"	93	783033	11.9
	"2006"	"2006"	"Tennessee"	"47"	578	6088766	9.5
	"2006"	"2006"	"Texas"	"48"	1614	23359580	6.9
	"2006"	"2006"	"Utah"	"49"	350	2525507	13.9
	"2006"	"2006"	"Vermont"	"50"	69	622892	11.1
	"2006"	"2006"	"Virginia"	"51"	571	7673725	7.4
	"2006"	"2006"	"Washington"	"53"	845	6370753	13.3
	"2006"	"2006"	"West Virginia"	"54"	318	1827912	17.4
	"2006"	"2006"	"Wisconsin"	"55"	497	5577655	8.9
	"2006"	"2006"	"Wyoming"	"56"	67	522667	12.8
"Total"	"2006"	"2006"			25064	298379912	8.4
	"2007"	"2007"	"Alabama"	"01"	202	4672840	4.3
	"2007"	"2007"	"Alaska"	"02"	65	680300	9.6
	"2007"	"2007"	"Arizona"	"04"	555	6167681	9.0
	"2007"	"2007"	"Arkansas"	"05"	206	2848650	7.2
	"2007"	"2007"	"California"	"06"	2954	36250311	8.1
	"2007"	"2007"	"Colorado"	"08"	412	4803868	8.6
	"2007"	"2007"	"Connecticut"	"09"	167	3527270	4.7
	"2007"	"2007"	"Delaware"	"10"	67	871749	7.7
	"2007"	"2007"	"District of Columbia"	"11"	68	574404	11.8
	"2007"	"2007"	"Florida"	"12"	2010	18367842	10.9
	"2007"	"2007"	"Georgia"	"13"	459	9349988	4.9
	"2007"	"2007"	"Hawaii"	"15"	112	1315675	8.5
